 ,Area,Mean,Min,Max,X,Y,Slice
1,0,232,232,232,0,0,1
2,0,109,109,109,237,222,1
3,0,129,129,129,259,108,2
4,0,105,105,105,249.667,110,2
5,0,129,129,129,259,108,3
6,0,105,105,105,249.667,110,3
7,0,194,194,194,406,173,4
8,0,108,108,108,399,169,4
9,0,181,181,181,422.5,44.833,5
10,0,103,103,103,424.333,53.667,5
11,0,180,180,180,411.5,58.833,6
12,0,106,106,106,423.333,59.833,6
13,0,157,157,157,244.667,352.667,7
14,0,103,103,103,236.833,344,7
15,0,214,214,214,484.167,364.5,8
16,0,102,102,102,475.833,356.667,8
17,0,222,222,222,330,224.333,9
18,0,112,112,112,338,224.333,9
19,0,227,227,227,329.167,223.25,10
20,0,112,112,112,338.083,223.667,10
21,0,246,246,246,396.375,188.125,11
22,0,116,116,116,389.125,194.25,11
23,0,151,151,151,415.333,93.5,12
24,0,103,103,103,426.333,94.833,12
25,0,145,145,145,297.625,118.875,13
26,0,108,108,108,297.5,110.125,13
27,0,112,112,112,198.25,92.25,14
28,0,103,103,103,197.5,100.75,14
29,0,191,191,191,226.333,385.333,15
30,0,103,103,103,228.667,377.167,15
31,0,214,214,214,313.333,326.5,16
32,0,105,105,105,310,335.333,16
33,0,197,197,197,268.333,248.5,17
34,0,179,179,179,261,249.5,17
35,0,187,187,187,276.375,246.75,18
36,0,163,163,163,282.5,249.375,18
37,0,117,117,117,279.375,247.625,19
38,0,109,109,109,284.625,249.875,19
39,0,188,188,188,277.125,249.125,20
40,0,184,184,184,284.375,249.25,20
