 ,Area,Mean,Min,Max,X,Y,Slice
1,0,208,208,208,0,0,1
2,0,132,132,132,305.333,4,1
3,0,150,150,150,423.667,57,2
4,0,135,135,135,416,53.667,2
5,0,134,134,134,398.5,271.5,3
6,0,137,137,137,409,276,3
7,0,143,143,143,231.667,303,4
8,0,138,138,138,228,294.667,4
9,0,135,135,135,234.667,302,5
10,0,138,138,138,226.333,295,5
11,0,140,140,140,235.833,303.667,6
12,0,136,136,136,229.833,296.333,6
13,0,132,132,132,234.5,303.833,7
14,0,137,137,137,228.667,296.5,7
15,0,151,151,151,233.5,304.333,8
16,0,135,135,135,227.833,296.333,8
17,0,140,140,140,233.667,302.667,9
18,0,139,139,139,228.5,295.5,9
19,0,140,140,140,234,306.5,10
20,0,136,136,136,223.5,306.333,10
21,0,136,136,136,235.667,306.5,11
22,0,134,134,134,224.667,305.333,11
23,0,133,133,133,372.25,207.5,12
24,0,149,149,149,378,215.75,12
25,0,131,131,131,372,205.75,13
26,0,137,137,137,378,213.5,13
27,0,133,133,133,369.75,204,14
28,0,137,137,137,378,213.5,14
29,0,150,150,150,369.25,205.25,15
30,0,137,137,137,378,213.5,15
