 ,Area,Mean,Min,Max,X,Y,Slice
1,0,124,124,124,0,0,1
2,0,11,11,11,199,198.5,1
3,0,125,125,125,0,0,2
4,0,17,17,17,197.333,197.333,2
5,0,130,130,130,451.667,120.167,3
6,0,2,2,2,457.833,113.833,3
7,0,98,98,98,166,193.25,4
8,0,5,5,5,170,186.75,4
9,0,111,111,111,438,310.5,5
10,0,2,2,2,434.5,317.5,5
11,0,115,115,115,267.75,350.5,6
12,0,3,3,3,269.75,357.75,6
13,0,86,86,86,198,340,7
14,0,2,2,2,205.5,344.75,7
15,0,84,84,84,222,362.5,8
16,0,2,2,2,229.5,365.5,8
17,0,16,16,16,130.125,228.875,9
18,0,3,3,3,133.25,222.75,9
19,0,8,8,8,308.875,33.25,10
20,0,2,2,2,312.625,37,10
21,0,136,136,136,287.333,31.833,11
22,0,4,4,4,282.667,39.833,11
23,0,88,88,88,461.75,106.75,12
24,0,2,2,2,466.5,113.5,12
25,0,99,99,99,498.5,253.5,13
26,0,1,1,1,493.5,259.333,13
27,0,123,123,123,302.167,193.167,14
28,0,9,9,9,303.333,186.833,14
29,0,70,70,70,403.5,195.333,15
30,0,7,7,7,399.333,191,15
31,0,109,109,109,397.5,308.25,16
32,0,3,3,3,387.5,311,16
33,0,37,37,37,142,141.5,17
34,0,3,3,3,147.333,146.5,17
35,0,14,14,14,145.333,148.917,18
36,0,2,2,2,149.833,144.25,18
37,0,13,13,13,345,29.667,19
38,0,1,1,1,351.5,34.5,19
39,0,91,91,91,449.75,192.75,20
40,0,4,4,4,456.5,186.5,20
