 ,Area,Mean,Min,Max,X,Y,Slice
1,0,78,78,78,171.000,220.500,1
2,0,9,9,9,181.000,224.000,1
3,0,99,99,99,201.667,187.667,2
4,0,6,6,6,193.667,195.333,2
5,0,37,37,37,467.750,102.750,3
6,0,3,3,3,469.250,112.250,3
7,0,43,43,43,366.000,46.250,4
8,0,4,4,4,371.500,53.250,4
9,0,112,112,112,364.750,34.750,5
10,0,4,4,4,367.750,44.500,5
11,0,15,15,15,304.500,25.500,6
12,0,5,5,5,311.167,30.667,6
13,0,130,130,130,302.667,33.333,7
14,0,5,5,5,312.833,33.667,7
15,0,43,43,43,439.500,193.750,8
16,0,4,4,4,439.250,186.000,8
17,0,30,30,30,441.333,295.333,9
18,0,3,3,3,446.333,291.500,9
19,0,73,73,73,248.250,137.250,10
20,0,16,16,16,237.750,140.750,10
21,0,25,25,25,207.333,305.000,11
22,0,4,4,4,200.500,301.667,11
23,0,94,94,94,283.375,256.625,12
24,0,10,10,10,290.750,257.750,12
25,0,107,107,107,162.333,180.000,13
26,0,6,6,6,168.500,177.000,13
27,0,67,67,67,0.000,0.500,14
28,0,100,100,100,0.500,1.000,14
29,0,16,16,16,266.000,57.750,15
30,0,6,6,6,268.000,65.750,15
31,0,22,22,22,438.250,261.250,16
32,0,3,3,3,432.000,260.250,16
33,0,120,120,120,172.500,282.000,17
34,0,6,6,6,181.833,288.333,17
35,0,88,88,88,174.167,273.500,18
36,0,3,3,3,178.833,282.333,18
37,0,87,87,87,148.500,155.750,19
38,0,4,4,4,151.000,164.750,19
39,0,91,91,91,370.167,53.333,20
40,0,6,6,6,363.000,49.833,20
